latitude,longitude,flood_height,elevation,precipitation
14.64039374,121.0557085,0,54.55329514,9
14.69829935,121.0021322,0,21.85627174,10
14.69885841,121.1002614,0,69.32280731,16
14.57131006,120.9833345,0,10.98724079,8
14.7622323,121.0757349,0,87.8898468,18
14.6011784,121.0885987,0,14.46373367,11
14.70803089,121.052674,0,45.00055313,12
14.70920612,121.0502922,0,43.22685242,13
14.70962531,121.0470059,0,43.1831131,12
14.66933825,121.1328981,0,48.27621078,17
14.72701256,121.0465953,0,53.30765152,13
14.6467477,121.0628002,0,62.10153198,10
14.685377,121.097061,0,82.23147583,15
14.39827,121.027496,0,37.07901764,10
14.630796,121.072151,0,52.1958313,10
14.630796,121.072144,0,52.1958313,10
14.630767,121.072205,0,52.1958313,10
14.732137,121.05455,0,69.5092392,14
14.61853,121.058342,0,51.15957642,9
14.636256,121.082314,0,36.83612442,11
14.636267,121.082298,0,36.83612442,11
14.655506,121.086761,0,38.09612274,12
14.620814,121.04863,0,41.84384155,9
14.625777,121.010796,0,14.08218002,8
14.627915,121.013458,0,17.34160995,8
14.630739,121.01638,0,15.07206821,8
14.632337,121.01889,0,18.18972778,8
14.633064,121.020218,0,20.27785683,8
14.632171,121.020737,0,21.97542953,8
14.628372,121.033974,0,31.17227745,8
14.626919,121.033798,0,30.39649773,8
14.621645,121.024658,0,23.37813568,8
14.622268,121.026466,0,27.1499157,8
14.622911,121.02906,0,29.51216125,8
14.623846,121.033134,0,30.46222878,8
14.630303,121.025757,0,28.51007652,8
14.673847,121.058876,0,52.80630112,11
14.673867,121.058884,0,52.80630112,11
14.496457,121.007439,0,9.468486786,6
14.43601,120.987564,0,22.66096306,7
14.658797,121.068962,0,71.50645447,11
14.616882,121.064957,0,51.65501404,9
14.658864,121.068886,0,71.50645447,11
14.608107,121.026985,0,14.76215363,8
14.432397,121.021523,0,36.54158401,8
14.657551,121.06768,0,69.71452332,11
14.668626,121.076752,0,75.05729675,13
14.626,121.026611,0,28.12487602,8
14.62723,121.026688,0,28.27770233,8
14.73695808,121.0482261,1,70.02470398,14
14.75731464,121.0731063,1,90.17043304,16
14.65751742,121.0685528,1,70.87406921,11
14.532866,121.01709,1,10.09697533,7
14.577561,121.032944,1,5.643910408,8
14.579244,120.980759,1,9.51047039,8
14.760815,120.949219,1,6.785119057,11
14.658828,120.973549,1,14.18831348,9
14.655185,121.029991,1,36.19387054,9
14.624199,121.019363,1,13.40828228,8
14.634741,121.082733,1,30.07551956,11
14.573636,121.047447,1,30.99565697,8
14.637704,121.08194,1,39.71067047,11
14.579095,120.989761,1,8.535161972,8
14.587903,121.018181,1,8.422194481,8
14.650555,121.068382,1,68.54673004,11
14.621697,121.013741,1,10.78000164,8
14.556985,121.106209,1,7.04073143,12
14.632706,121.029381,1,31.88755226,8
14.417307,120.976433,1,22.25920486,7
14.647015,121.054626,1,56.57465363,9
14.436197,120.978432,1,15.22909832,7
14.691085,121.07148,1,63.84148026,13
14.651697,121.054787,1,53.64758301,9
14.642209,120.994675,1,22.5617466,8
14.562364,121.09864,1,6.514240742,11
14.561425,121.100044,1,6.763588905,12
14.561882,121.096497,1,6.460706234,11
14.560345,121.10215,1,6.878732681,12
14.56834,121.086136,1,7.703298569,11
14.622787,120.98745,1,6.554628849,8
14.529148,121.061737,1,6.815510273,9
14.530374,121.058411,1,6.599003315,9
14.64822,121.06987,1,65.73006439,11
14.384552,121.051956,1,7.160135269,11
14.394217,121.044861,1,15.48237991,10
14.395953,121.044983,1,16.48077965,10
14.398239,121.045837,1,13.6267271,10
14.398566,121.046051,1,13.00619125,10
14.439605,121.024765,1,35.39329529,8
14.634455,121.122551,1,19.63062859,15
14.697852,121.010452,1,24.70691109,10
14.561508,121.095451,1,6.148144722,11
14.573107,121.024048,1,8.819694519,8
14.626929,121.07119,1,55.34355164,10
14.646795,121.015694,1,22.33689308,8
14.673514,121.060326,1,53.82743454,11
14.673639,121.060295,1,53.82743454,11
14.630033,121.056915,1,44.71358109,9
14.630656,121.061249,1,47.05640793,9
14.631175,121.055046,1,43.5621109,9
14.65751742,121.0685528,1,70.87406921,11
14.532866,121.01709,1,10.09697533,7
14.577561,121.032944,1,5.643910408,8
14.579244,120.980759,1,9.51047039,8
14.760815,120.949219,1,6.785119057,11
14.658828,120.973549,1,14.18831348,9
14.655185,121.029991,1,36.19387054,9
14.624199,121.019363,1,13.40828228,8
14.634741,121.082733,1,30.07551956,11
14.573636,121.047447,1,30.99565697,8
14.637704,121.08194,1,39.71067047,11
14.579095,120.989761,1,8.535161972,8
14.587903,121.018181,1,8.422194481,8
14.650555,121.068382,1,68.54673004,11
14.621697,121.013741,1,10.78000164,8
14.556985,121.106209,1,7.04073143,12
14.632706,121.029381,1,31.88755226,8
14.417307,120.976433,1,22.25920486,7
14.647015,121.054626,1,56.57465363,9
14.436197,120.978432,1,15.22909832,7
14.691085,121.07148,1,63.84148026,13
14.651697,121.054787,1,53.64758301,9
14.642209,120.994675,1,22.5617466,8
14.562364,121.09864,1,6.514240742,11
14.561425,121.100044,1,6.763588905,12
14.561882,121.096497,1,6.460706234,11
14.560345,121.10215,1,6.878732681,12
14.56834,121.086136,1,7.703298569,11
14.622787,120.98745,1,6.554628849,8
14.529148,121.061737,1,6.815510273,9
14.530374,121.058411,1,6.599003315,9
14.64822,121.06987,1,65.73006439,11
14.384552,121.051956,1,7.160135269,11
14.394217,121.044861,1,15.48237991,10
14.395953,121.044983,1,16.48077965,10
14.398239,121.045837,1,13.6267271,10
14.398566,121.046051,1,13.00619125,10
14.439605,121.024765,1,35.39329529,8
14.634455,121.122551,1,19.63062859,15
14.697852,121.010452,1,24.70691109,10
14.561508,121.095451,1,6.148144722,11
14.573107,121.024048,1,8.819694519,8
14.626929,121.07119,1,55.34355164,10
14.646795,121.015694,1,22.33689308,8
14.673514,121.060326,1,53.82743454,11
14.673639,121.060295,1,53.82743454,11
14.630033,121.056915,1,44.71358109,9
